index_id,index_name,trade_date,open_value,close_value,daily_change
1,Nifty_50,2023-06-29,15000.0,15096.91,96.91
2,Nifty_50,2023-06-30,15096.91,15079.41,-17.5
3,Nifty_50,2023-07-03,15079.41,15204.15,124.74
4,Nifty_50,2023-07-04,15204.15,15489.63,285.48
5,Nifty_50,2023-07-05,15489.63,15453.85,-35.78
6,Nifty_50,2023-07-06,15453.85,15418.16,-35.69
7,Nifty_50,2023-07-07,15418.16,15718.05,299.89
8,Nifty_50,2023-07-10,15718.05,15870.66,152.61
9,Nifty_50,2023-07-11,15870.66,15789.18,-81.48
10,Nifty_50,2023-07-12,15789.18,15899.88,110.69
11,Nifty_50,2023-07-13,15899.88,15819.41,-80.47
12,Nifty_50,2023-07-14,15819.41,15738.91,-80.5
13,Nifty_50,2023-07-17,15738.91,15792.47,53.57
14,Nifty_50,2023-07-18,15792.47,15437.79,-354.69
15,Nifty_50,2023-07-19,15437.79,15125.96,-311.83
16,Nifty_50,2023-07-20,15125.96,15031.46,-94.5
17,Nifty_50,2023-07-21,15031.46,14856.28,-175.18
18,Nifty_50,2023-07-24,14856.28,14919.73,63.45
19,Nifty_50,2023-07-25,14919.73,14764.62,-155.11
20,Nifty_50,2023-07-26,14764.62,14521.78,-242.84
21,Nifty_50,2023-07-27,14521.78,14784.45,262.67
22,Nifty_50,2023-07-28,14784.45,14751.78,-32.66
23,Nifty_50,2023-07-31,14751.78,14771.11,19.33
24,Nifty_50,2023-08-01,14771.11,14525.96,-245.16
25,Nifty_50,2023-08-02,14525.96,14438.33,-87.63
26,Nifty_50,2023-08-03,14438.33,14464.77,26.44
27,Nifty_50,2023-08-04,14464.77,14272.21,-192.55
28,Nifty_50,2023-08-07,14272.21,14343.69,71.48
29,Nifty_50,2023-08-08,14343.69,14247.48,-96.21
30,Nifty_50,2023-08-09,14247.48,14204.73,-42.75
31,Nifty_50,2023-08-10,14204.73,14109.27,-95.46
32,Nifty_50,2023-08-11,14109.27,14429.94,320.67
33,Nifty_50,2023-08-14,14429.94,14434.81,4.88
34,Nifty_50,2023-08-15,14434.81,14258.82,-176.0
35,Nifty_50,2023-08-16,14258.82,14406.69,147.87
36,Nifty_50,2023-08-17,14406.69,14202.83,-203.86
37,Nifty_50,2023-08-18,14202.83,14245.53,42.7
38,Nifty_50,2023-08-21,14245.53,13917.66,-327.88
39,Nifty_50,2023-08-22,13917.66,13702.79,-214.86
40,Nifty_50,2023-08-23,13702.79,13742.01,39.22
41,Nifty_50,2023-08-24,13742.01,13870.66,128.65
42,Nifty_50,2023-08-25,13870.66,13906.12,35.46
43,Nifty_50,2023-08-28,13906.12,13893.77,-12.35
44,Nifty_50,2023-08-29,13893.77,13850.52,-43.25
45,Nifty_50,2023-08-30,13850.52,13611.71,-238.81
46,Nifty_50,2023-08-31,13611.71,13500.93,-110.77
47,Nifty_50,2023-09-01,13500.93,13433.05,-67.88
48,Nifty_50,2023-09-04,13433.05,13610.17,177.12
49,Nifty_50,2023-09-05,13610.17,13673.1,62.93
50,Nifty_50,2023-09-06,13673.1,13390.66,-282.44
51,Nifty_50,2023-09-07,13390.66,13449.43,58.77
52,Nifty_50,2023-09-08,13449.43,13394.01,-55.42
53,Nifty_50,2023-09-11,13394.01,13291.91,-102.1
54,Nifty_50,2023-09-12,13291.91,13396.12,104.21
55,Nifty_50,2023-09-13,13396.12,13568.55,172.43
56,Nifty_50,2023-09-14,13568.55,13726.97,158.42
57,Nifty_50,2023-09-15,13726.97,13595.59,-131.38
58,Nifty_50,2023-09-18,13595.59,13551.94,-43.65
59,Nifty_50,2023-09-19,13551.94,13612.59,60.65
60,Nifty_50,2023-09-20,13612.59,13778.75,166.16
61,Nifty_50,2023-09-21,13778.75,13706.41,-72.34
62,Nifty_50,2023-09-22,13706.41,13682.73,-23.68
63,Nifty_50,2023-09-25,13682.73,13507.92,-174.81
64,Nifty_50,2023-09-26,13507.92,13320.77,-187.15
65,Nifty_50,2023-09-27,13320.77,13457.32,136.54
66,Nifty_50,2023-09-28,13457.32,13683.06,225.74
67,Nifty_50,2023-09-29,13683.06,13678.08,-4.98
68,Nifty_50,2023-10-02,13678.08,13849.63,171.56
69,Nifty_50,2023-10-03,13849.63,13916.66,67.03
70,Nifty_50,2023-10-04,13916.66,13815.88,-100.78
71,Nifty_50,2023-10-05,13815.88,13882.71,66.82
72,Nifty_50,2023-10-06,13882.71,14145.88,263.17
73,Nifty_50,2023-10-09,14145.88,14146.87,0.99
74,Nifty_50,2023-10-10,14146.87,14419.56,272.69
75,Nifty_50,2023-10-11,14419.56,13973.46,-446.1
76,Nifty_50,2023-10-12,13973.46,14118.27,144.8
77,Nifty_50,2023-10-13,14118.27,14140.07,21.81
78,Nifty_50,2023-10-16,14140.07,14096.41,-43.67
79,Nifty_50,2023-10-17,14096.41,14118.98,22.57
