price_id,company_id,trade_date,open_price,high_price,low_price,close_price,volume,price_change,daily_return_pct
1,1,2023-06-29,1154.89,1178.43,1153.09,1176.6,299837,21.70999999999981,1.8798327113404574
2,1,2023-06-30,1176.6,1239.23,1169.52,1228.59,3543282,51.99000000000001,4.418663946965835
3,1,2023-07-03,1228.59,1230.82,1209.63,1211.85,1528168,-16.74000000000001,-1.362537543037141
4,1,2023-07-04,1211.85,1237.39,1206.62,1230.93,1463233,19.080000000000155,1.5744522836984904
5,1,2023-07-05,1230.93,1234.53,1190.38,1194.76,2285789,-36.17000000000007,-2.93842866775528
6,1,2023-07-06,1194.76,1215.12,1192.37,1205.65,2576029,10.8900000000001,0.9114801299005743
7,1,2023-07-07,1205.65,1212.98,1184.59,1186.61,334607,-19.04000000000019,-1.5792311201426774
8,1,2023-07-10,1186.61,1201.72,1175.15,1190.43,4043902,3.8200000000001637,0.321925485205768
9,1,2023-07-11,1190.43,1198.57,1164.53,1169.68,618970,-20.75,-1.7430676310240836
10,1,2023-07-12,1169.68,1175.47,1159.38,1159.78,4547508,-9.900000000000091,-0.8463853361603251
11,1,2023-07-13,1159.78,1191.16,1153.75,1187.46,2738084,27.680000000000064,2.3866595388780687
12,1,2023-07-14,1187.46,1189.66,1134.29,1145.4,3877912,-42.059999999999945,-3.54201404678894
13,1,2023-07-17,1145.4,1170.98,1143.15,1169.94,235684,24.539999999999964,2.1424829753797767
14,1,2023-07-18,1169.94,1179.58,1165.39,1175.76,1364031,5.819999999999936,0.49746140827734203
15,1,2023-07-19,1175.76,1179.06,1153.75,1160.04,713211,-15.720000000000027,-1.3370075525617495
16,1,2023-07-20,1160.04,1205.22,1159.18,1195.62,4934565,35.57999999999993,3.067135616013235
17,1,2023-07-21,1195.62,1195.69,1162.58,1172.14,3537218,-23.47999999999979,-1.963834663187283
18,1,2023-07-24,1172.14,1201.64,1163.1,1192.94,379482,20.799999999999955,1.7745320524851937
19,1,2023-07-25,1192.94,1203.24,1156.64,1163.9,1661181,-29.039999999999964,-2.434321927339176
20,1,2023-07-26,1163.9,1164.64,1149.87,1153.45,1632664,-10.450000000000045,-0.8978434573416998
21,1,2023-07-27,1153.45,1191.12,1148.01,1180.65,606775,27.200000000000045,2.3581429624171
22,1,2023-07-28,1180.65,1235.86,1171.67,1227.11,2810773,46.45999999999981,3.9351204844788725
23,1,2023-07-31,1227.11,1233.52,1220.59,1225.83,136841,-1.2799999999999727,-0.10431012704647284
24,1,2023-08-01,1225.83,1282.86,1225.45,1281.48,3185687,55.65000000000009,4.539781209466247
25,1,2023-08-02,1281.48,1296.55,1278.29,1284.89,2057810,3.410000000000082,0.26609857352436883
26,1,2023-08-03,1284.89,1294.6,1208.02,1210.79,394129,-74.10000000000014,-5.76703064075525
27,1,2023-08-04,1210.79,1222.05,1172.84,1182.39,3170684,-28.399999999999864,-2.3455760288736993
28,1,2023-08-07,1182.39,1192.7,1155.81,1165.18,940984,-17.210000000000036,-1.4555265183230606
29,1,2023-08-08,1165.18,1177.9,1154.74,1168.46,1596837,3.2799999999999727,0.2815015705727847
30,1,2023-08-09,1168.46,1202.62,1165.8,1201.3,2141267,32.83999999999992,2.810536946065755
31,1,2023-08-10,1201.3,1211.7,1195.16,1211.62,2092880,10.319999999999936,0.8590693415466526
32,1,2023-08-11,1211.62,1223.51,1210.17,1220.8,1694699,9.180000000000064,0.75766329377198
33,1,2023-08-14,1220.8,1227.13,1206.54,1215.09,1824511,-5.710000000000036,-0.46772608125819437
34,1,2023-08-15,1215.09,1241.28,1203.39,1229.33,1266393,14.240000000000009,1.1719296513015505
35,1,2023-08-16,1229.33,1232.83,1160.46,1160.89,3051726,-68.43999999999983,-5.567260214913801
36,1,2023-08-17,1160.89,1166.73,1159.4,1160.0,1400445,-0.8900000000001,-0.07666531712738502
37,1,2023-08-18,1160.0,1161.68,1147.88,1153.52,4928395,-6.480000000000018,-0.558620689655174
38,1,2023-08-21,1153.52,1166.43,1145.77,1163.62,3810481,10.099999999999909,0.8755808308481785
39,1,2023-08-22,1163.62,1194.7,1156.26,1190.32,3171313,26.700000000000045,2.294563517299466
40,1,2023-08-23,1190.32,1196.7,1157.87,1158.92,4178159,-31.399999999999864,-2.637946098528116
